company,sources,headquarters,industry,found_ats,verified_slug,job_count
Lam Research,"sp500,sec_edgar","Fremont, California",Information Technology,,,0
Las Vegas Sands,"sp500,sec_edgar","Las Vegas, Nevada",Consumer Discretionary,,,0
Leidos,sp500,"Reston, Virginia",Industrials,,,0
Lennar,sp500,"Miami, Florida",Consumer Discretionary,,,0
Lennox International,"sp500,sec_edgar","Richardson, Texas",Industrials,,,0
Lilly (Eli),sp500,"Indianapolis, Indiana",Health Care,,,0
Linde plc,"sp500,sec_edgar","Guildford, United Kingdom",Materials,,,0
Live Nation Entertainment,"sp500,sec_edgar","Beverly Hills, California",Communication Services,,,0
Lockheed Martin,"sp500,largest_us,sec_edgar","Bethesda, Maryland",Industrials,,,0
Loews Corporation,"sp500,sec_edgar","New York City, New York",Financials,,,0
Lowe's,"sp500,largest_us","Mooresville, North Carolina",Consumer Discretionary,,,0
Lululemon Athletica,"sp500,sec_edgar","Vancouver, Canada",Consumer Discretionary,,,0
Lumentum,sp500,"San Jose, California",Information Technology,,,0
LyondellBasell,sp500,"Rotterdam, Netherlands",Materials,,,0
M&T Bank,"sp500,sec_edgar,sec_edgar,sec_edgar,sec_edgar","Buffalo, New York",Financials,,,0
Marathon Petroleum,"sp500,largest_us,sec_edgar","Findlay, Ohio",Energy,,,0
Marriott International,sp500,"Bethesda, Maryland",Consumer Discretionary,,,0
Marsh McLennan,sp500,"New York City, New York",Financials,,,0
Martin Marietta Materials,"sp500,sec_edgar","Raleigh, North Carolina",Materials,,,0
Masco,sp500,"Livonia, Michigan",Industrials,,,0
Mastercard,"sp500,sec_edgar","Harrison, New York",Financials,,,0
McCormick & Company,"sp500,sec_edgar,sec_edgar","Hunt Valley, Maryland",Consumer Staples,,,0
McDonald's,"sp500,sec_edgar","Chicago, Illinois",Consumer Discretionary,,,0
McKesson Corporation,"sp500,largest_us,sec_edgar","Irving, Texas",Health Care,,,0
Medtronic,sp500,"Galway, Ireland",Health Care,,,0
Merck & Co.,"sp500,largest_us,sec_edgar","Kenilworth, New Jersey",Health Care,,,0
Meta Platforms,"sp500,largest_us,sec_edgar","Menlo Park, California",Communication Services,,,0
