company,sources,industry,headquarters
Mid-America Apartment Communities,"sp500,sec_edgar,sec_edgar",Real Estate,"Memphis, Tennessee"
Moderna,"sp500,sec_edgar",Health Care,"Cambridge, Massachusetts"
Molson Coors Beverage Company,"sp500,sec_edgar,sec_edgar",Consumer Staples,"Chicago, Illinois"
Mondelez International,"sp500,sec_edgar",Consumer Staples,"Chicago, Illinois"
Monolithic Power Systems,"sp500,sec_edgar",Information Technology,"Kirkland, Washington"
Monster Beverage,"sp500,sec_edgar",Consumer Staples,"Corona, California"
Moody's Corporation,sp500,Financials,"New York City, New York"
Morgan Stanley,"sp500,largest_us,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar",Financials,"New York City, New York"
Mosaic Company (The),"sp500,sec_edgar",Materials,"Tampa, Florida"
Motorola Solutions,"sp500,sec_edgar",Information Technology,"Chicago, Illinois"
MSCI Inc.,"sp500,sec_edgar",Financials,"New York City, New York"
"Nasdaq, Inc.","sp500,sec_edgar",Financials,"New York City, New York"
NetApp,"sp500,sec_edgar",Information Technology,"San Jose, California"
Netflix,"sp500,sec_edgar",Communication Services,"Los Gatos, California"
Newmont,sp500,Materials,"Denver, Colorado"
News Corp(Class A),"sp500,sp500,sec_edgar,sec_edgar,sec_edgar",Communication Services,"New York City, New York"
NextEra Energy,"sp500,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar",Utilities,"Juno Beach, Florida"
"Nike, Inc.","sp500,largest_us,sec_edgar",Consumer Discretionary,"Washington County, Oregon"
NiSource,"sp500,sec_edgar",Utilities,"Merrillville, Indiana"
Nordson Corporation,"sp500,sec_edgar",Industrials,"Westlake, Ohio"
Norfolk Southern,"sp500,sec_edgar",Industrials,"Atlanta, Georgia"
Northern Trust,"sp500,sec_edgar,sec_edgar",Financials,"Chicago, Illinois"
Northrop Grumman,sp500,Industrials,"West Falls Church, Virginia"
Norwegian Cruise Line Holdings,"sp500,sec_edgar",Consumer Discretionary,"Miami-Dade County, Florida"
NRG Energy,"sp500,sec_edgar",Utilities,"Houston, Texas"
Nucor,"sp500,sec_edgar",Materials,"Charlotte, North Carolina"
Nvidia,"sp500,largest_us,sec_edgar",Information Technology,"Santa Clara, California"
"NVR, Inc.","sp500,sec_edgar",Consumer Discretionary,"Reston, Virginia"
NXP Semiconductors,sp500,Information Technology,"Eindhoven, Netherlands"
O’Reilly Automotive,"sp500,sec_edgar",Consumer Discretionary,"Springfield, Missouri"
Occidental Petroleum,sp500,Energy,"Houston, Texas"
Old Dominion,sp500,Industrials,"Thomasville, North Carolina"
Omnicom Group,"sp500,sec_edgar",Communication Services,"New York City, New York"
ON Semiconductor,"sp500,sec_edgar",Information Technology,"Phoenix, Arizona"
Oneok,sp500,Energy,"Tulsa, Oklahoma"
Oracle Corporation,"sp500,largest_us,sec_edgar,sec_edgar",Information Technology,"Austin, Texas"
Otis Worldwide,"sp500,sec_edgar",Industrials,"Farmington, Connecticut"
Paccar,"sp500,sec_edgar",Industrials,"Bellevue, Washington"
Packaging Corporation of America,sp500,Materials,"Lake Forest, Illinois"
Palantir Technologies,"sp500,sec_edgar",Information Technology,"Aventura, Florida"
Palo Alto Networks,"sp500,sec_edgar",Information Technology,"Santa Clara, California"
Paramount Skydance Corporation,"sp500,sec_edgar",Communication Services,"Los Angeles, California"
